114,150,122,296,110,36,21,41,41,37,
283,70,220,144,38,23,20,271,112,209,
170,33,118,188,255,257,177,50,258,69,
283,10,227,14,107,188,243,107,91,240,
260,108,243,134,275,170,91,294,85,176,
282,70,273,285,266,26,186,87,126,27,
57,81,99,81,146,272,47,262,257,146,
285,271,73,69,169,225,189,242,266,285,
173,152,114,164,284,162,297,169,212,73,
297,173,51,45,217,238,45,188,203,112,
274,141,131,175,299,145,41,190,186,44,
135,183,80,298,249,91,23,274,197,154,
56,263,36,195,12,118,231,20,213,121,
145,215,102,162,71,147,134,208,22,183,
176,213,190,43,15,72,68,40,157,152,
282,255,129,61,40,108,275,250,77,279,
190,75,223,184,101,70,14,248,55,69,
182,75,44,11,93,69,295,28,12,207,
159,276,51,27,97,261,39,220,273,184,
21,287,215,283,103,222,24,101,202,109,
70,48,197,34,225,236,138,40,207,77,
134,223,61,53,206,53,30,141,239,270,
284,32,89,43,61,44,218,252,180,275,
55,99,23,122,228,237,254,28,81,184,
13,65,95,12,156,128,39,192,119,75,
169,294,265,280,55,288,198,40,41,203,
262,122,192,157,160,193,41,293,223,57,
10,299,105,65,38,93,127,68,53,177,
89,83,129,51,148,42,38,170,61,28,
94,18,236,120,129,93,270,110,178,107,
196,203,65,46,115,88,293,119,214,98,
213,179,77,126,24,175,128,256,191,155,
65,271,229,226,34,245,284,152,255,233,
202,176,208,142,136,116,83,79,224,45,
46,242,245,233,45,96,246,151,84,204,
146,282,166,108,192,205,145,271,260,161,
135,281,167,136,270,210,162,184,173,213,
256,122,98,22,203,244,73,114,213,56,
158,114,147,163,149,258,210,210,158,48,
280,95,51,194,23,206,73,239,122,91,
