109,86,95,61,20,39,289,246,188,153,
144,288,54,139,209,232,15,195,203,143,
83,147,34,233,208,270,128,248,290,86,
18,211,169,218,179,197,182,142,278,122,
248,119,220,87,138,111,105,278,26,211,
262,34,212,55,38,36,272,256,35,23,
299,142,74,266,141,108,182,101,171,199,
87,66,62,39,155,282,290,200,133,199,
181,198,71,229,185,193,82,155,122,145,
128,116,207,277,272,202,119,134,211,89,
266,19,58,282,265,125,254,29,201,242,
285,90,268,283,199,253,49,196,167,69,
229,47,156,199,203,295,117,126,166,165,
138,52,285,224,144,111,296,91,286,93,
263,295,165,53,52,88,102,75,263,216,
201,138,166,152,201,94,296,222,179,141,
35,160,163,36,164,209,202,59,153,24,
64,230,115,69,146,203,134,192,148,108,
237,55,278,151,62,155,97,74,44,24,
54,74,22,159,243,240,247,177,278,67,
93,90,33,68,92,75,212,80,223,97,
172,49,87,25,103,194,13,112,21,271,
273,182,115,53,115,281,92,152,122,266,
24,80,57,250,93,244,70,180,245,103,
291,250,56,37,45,90,150,74,95,174,
189,105,196,244,48,212,271,146,48,273,
81,264,158,54,249,252,200,117,40,196,
30,127,280,25,16,77,163,148,214,189,
62,276,285,17,297,274,25,117,129,38,
203,110,242,182,133,246,267,221,55,55,
